# Airfoil (Joukowski)
# a=1, xi0=-0.1, eta0=0.25, r=1.12805
-0.941213 0.118062
-0.922949 0.122109
-0.904542 0.126158
-0.885995 0.130205
-0.867307 0.134250
-0.848481 0.138290
-0.829518 0.142323
-0.810418 0.146346
-0.791185 0.150358
-0.771818 0.154356
-0.752321 0.158338
-0.732693 0.162303
-0.712938 0.166247
-0.693056 0.170168
-0.673050 0.174064
-0.652922 0.177934
-0.632672 0.181774
-0.612305 0.185583
-0.591820 0.189358
-0.571221 0.193097
-0.550510 0.196798
-0.529689 0.200458
-0.508760 0.204076
-0.487726 0.207649
-0.466589 0.211175
-0.445352 0.214652
-0.424016 0.218078
-0.402586 0.221450
-0.381062 0.224766
-0.359449 0.228025
-0.337749 0.231224
-0.315965 0.234361
-0.294099 0.237434
-0.272155 0.240442
-0.250136 0.243381
-0.228045 0.246251
-0.205885 0.249049
-0.183659 0.251774
-0.161371 0.254424
-0.139023 0.256996
-0.116620 0.259489
-0.094164 0.261902
-0.071660 0.264233
-0.049110 0.266480
-0.026519 0.268642
-0.003889 0.270717
0.018774 0.272704
0.041469 0.274602
0.064190 0.276408
0.086935 0.278123
0.109698 0.279744
0.132477 0.281270
0.155268 0.282701
0.178065 0.284035
0.200867 0.285272
0.223667 0.286411
0.246463 0.287450
0.269250 0.288390
0.292025 0.289229
0.314782 0.289966
0.337519 0.290602
0.360230 0.291136
0.382911 0.291568
0.405560 0.291897
0.428170 0.292122
0.450738 0.292245
0.473261 0.292265
0.495733 0.292181
0.518150 0.291994
0.540509 0.291705
0.562804 0.291313
0.585033 0.290818
0.607190 0.290222
0.629272 0.289525
0.651274 0.288726
0.673193 0.287828
0.695023 0.286830
0.716762 0.285733
0.738405 0.284539
0.759949 0.283247
0.781388 0.281860
0.802719 0.280379
0.823939 0.278804
0.845043 0.277136
0.866028 0.275378
0.886890 0.273530
0.907625 0.271594
0.928229 0.269571
0.948699 0.267463
0.969031 0.265272
0.989222 0.262999
1.009269 0.260646
1.029167 0.258215
1.048913 0.255708
1.068505 0.253126
1.087939 0.250473
1.107212 0.247748
1.126320 0.244956
1.145262 0.242097
1.164033 0.239174
1.182631 0.236190
1.201053 0.233146
