# circle in zeta-plane case 8
# xi0 = -0.1, eta0 = 0.2, r = 1.11803
# xi   eta   xi/a   eta/a
0.327853 -0.832929 0.327853 -0.832929
0.336851 -0.829156 0.336851 -0.829156
0.345815 -0.825304 0.345815 -0.825304
0.354745 -0.821375 0.354745 -0.821375
0.363641 -0.817368 0.363641 -0.817368
0.372502 -0.813283 0.372502 -0.813283
0.381326 -0.809121 0.381326 -0.809121
0.390114 -0.804882 0.390114 -0.804882
0.398864 -0.800567 0.398864 -0.800567
0.407577 -0.796176 0.407577 -0.796176
0.416251 -0.791708 0.416251 -0.791708
0.424885 -0.787165 0.424885 -0.787165
0.433480 -0.782547 0.433480 -0.782547
0.442034 -0.777855 0.442034 -0.777855
0.450546 -0.773087 0.450546 -0.773087
0.459017 -0.768246 0.459017 -0.768246
0.467445 -0.763331 0.467445 -0.763331
0.475830 -0.758342 0.475830 -0.758342
0.484171 -0.753281 0.484171 -0.753281
0.492468 -0.748147 0.492468 -0.748147
0.500719 -0.742940 0.500719 -0.742940
0.508925 -0.737662 0.508925 -0.737662
0.517084 -0.732313 0.517084 -0.732313
0.525197 -0.726892 0.525197 -0.726892
0.533261 -0.721401 0.533261 -0.721401
0.541278 -0.715840 0.541278 -0.715840
0.549246 -0.710209 0.549246 -0.710209
0.557164 -0.704508 0.557164 -0.704508
0.565032 -0.698739 0.565032 -0.698739
0.572850 -0.692902 0.572850 -0.692902
0.580616 -0.686996 0.580616 -0.686996
0.588330 -0.681023 0.588330 -0.681023
0.595993 -0.674983 0.595993 -0.674983
0.603602 -0.668876 0.603602 -0.668876
0.611157 -0.662703 0.611157 -0.662703
0.618658 -0.656464 0.618658 -0.656464
0.626105 -0.650160 0.626105 -0.650160
0.633496 -0.643791 0.633496 -0.643791
0.640832 -0.637358 0.640832 -0.637358
0.648111 -0.630861 0.648111 -0.630861
