# circle in zeta-plane case 5
# xi0 = -0.2, eta0 = 0, r = 1.2
# xi   eta   xi/a   eta/a
-1.395434 0.104587 -1.395434 0.104587
-1.396301 0.094151 -1.396301 0.094151
-1.397077 0.083708 -1.397077 0.083708
-1.397762 0.073258 -1.397762 0.073258
-1.398355 0.062803 -1.398355 0.062803
-1.398858 0.052343 -1.398858 0.052343
-1.399269 0.041879 -1.399269 0.041879
-1.399589 0.031412 -1.399589 0.031412
-1.399817 0.020943 -1.399817 0.020943
-1.399954 0.010472 -1.399954 0.010472
-1.400000 0.000000 -1.400000 0.000000
-1.399954 -0.010472 -1.399954 -0.010472
-1.399817 -0.020943 -1.399817 -0.020943
-1.399589 -0.031412 -1.399589 -0.031412
-1.399269 -0.041879 -1.399269 -0.041879
-1.398858 -0.052343 -1.398858 -0.052343
-1.398355 -0.062803 -1.398355 -0.062803
-1.397762 -0.073258 -1.397762 -0.073258
-1.397077 -0.083708 -1.397077 -0.083708
-1.396301 -0.094151 -1.396301 -0.094151
-1.395434 -0.104587 -1.395434 -0.104587
-1.394475 -0.115015 -1.394475 -0.115015
-1.393426 -0.125434 -1.393426 -0.125434
-1.392286 -0.135844 -1.392286 -0.135844
-1.391055 -0.146243 -1.391055 -0.146243
-1.389734 -0.156631 -1.389734 -0.156631
-1.388322 -0.167008 -1.388322 -0.167008
-1.386819 -0.177371 -1.386819 -0.177371
-1.385226 -0.187721 -1.385226 -0.187721
-1.383543 -0.198057 -1.383543 -0.198057
-1.381769 -0.208378 -1.381769 -0.208378
-1.379906 -0.218683 -1.379906 -0.218683
-1.377953 -0.228971 -1.377953 -0.228971
-1.375910 -0.239242 -1.375910 -0.239242
-1.373777 -0.249494 -1.373777 -0.249494
-1.371555 -0.259728 -1.371555 -0.259728
-1.369244 -0.269941 -1.369244 -0.269941
-1.366844 -0.280134 -1.366844 -0.280134
-1.364355 -0.290306 -1.364355 -0.290306
-1.361777 -0.300456 -1.361777 -0.300456
-1.359111 -0.310583 -1.359111 -0.310583
-1.356357 -0.320686 -1.356357 -0.320686
-1.353514 -0.330765 -1.353514 -0.330765
-1.350584 -0.340818 -1.350584 -0.340818
-1.347566 -0.350846 -1.347566 -0.350846
-1.344460 -0.360847 -1.344460 -0.360847
-1.341268 -0.370820 -1.341268 -0.370820
-1.337988 -0.380766 -1.337988 -0.380766
-1.334622 -0.390682 -1.334622 -0.390682
-1.331170 -0.400568 -1.331170 -0.400568
-1.327631 -0.410424 -1.327631 -0.410424
-1.324007 -0.420249 -1.324007 -0.420249
-1.320297 -0.430042 -1.320297 -0.430042
-1.316501 -0.439801 -1.316501 -0.439801
-1.312621 -0.449528 -1.312621 -0.449528
-1.308655 -0.459220 -1.308655 -0.459220
-1.304606 -0.468877 -1.304606 -0.468877
-1.300472 -0.478499 -1.300472 -0.478499
-1.296255 -0.488084 -1.296255 -0.488084
-1.291954 -0.497632 -1.291954 -0.497632
-1.287569 -0.507142 -1.287569 -0.507142
-1.283102 -0.516613 -1.283102 -0.516613
-1.278553 -0.526045 -1.278553 -0.526045
-1.273921 -0.535437 -1.273921 -0.535437
-1.269208 -0.544789 -1.269208 -0.544789
-1.264413 -0.554098 -1.264413 -0.554098
-1.259537 -0.563366 -1.259537 -0.563366
-1.254581 -0.572591 -1.254581 -0.572591
-1.249544 -0.581772 -1.249544 -0.581772
-1.244427 -0.590908 -1.244427 -0.590908
-1.239230 -0.600000 -1.239230 -0.600000
-1.233955 -0.609046 -1.233955 -0.609046
-1.228601 -0.618046 -1.228601 -0.618046
-1.223168 -0.626998 -1.223168 -0.626998
-1.217658 -0.635903 -1.217658 -0.635903
-1.212070 -0.644760 -1.212070 -0.644760
-1.206405 -0.653567 -1.206405 -0.653567
-1.200663 -0.662324 -1.200663 -0.662324
-1.194845 -0.671031 -1.194845 -0.671031
-1.188951 -0.679687 -1.188951 -0.679687
-1.182982 -0.688292 -1.182982 -0.688292
-1.176939 -0.696844 -1.176939 -0.696844
-1.170820 -0.705342 -1.170820 -0.705342
-1.164628 -0.713787 -1.164628 -0.713787
-1.158363 -0.722178 -1.158363 -0.722178
-1.152024 -0.730514 -1.152024 -0.730514
-1.145613 -0.738794 -1.145613 -0.738794
-1.139130 -0.747018 -1.139130 -0.747018
-1.132575 -0.755184 -1.132575 -0.755184
-1.125950 -0.763294 -1.125950 -0.763294
-1.119253 -0.771345 -1.119253 -0.771345
-1.112487 -0.779338 -1.112487 -0.779338
-1.105651 -0.787271 -1.105651 -0.787271
-1.098747 -0.795144 -1.098747 -0.795144
-1.091774 -0.802957 -1.091774 -0.802957
-1.084733 -0.810708 -1.084733 -0.810708
-1.077624 -0.818398 -1.077624 -0.818398
-1.070449 -0.826025 -1.070449 -0.826025
-1.063208 -0.833590 -1.063208 -0.833590
-1.055901 -0.841091 -1.055901 -0.841091
-1.048528 -0.848528 -1.048528 -0.848528
-1.041091 -0.855901 -1.041091 -0.855901
-1.033590 -0.863208 -1.033590 -0.863208
-1.026025 -0.870449 -1.026025 -0.870449
-1.018398 -0.877624 -1.018398 -0.877624
-1.010708 -0.884733 -1.010708 -0.884733
-1.002957 -0.891774 -1.002957 -0.891774
-0.995144 -0.898747 -0.995144 -0.898747
-0.987271 -0.905651 -0.987271 -0.905651
-0.979338 -0.912487 -0.979338 -0.912487
-0.971345 -0.919253 -0.971345 -0.919253
-0.963294 -0.925950 -0.963294 -0.925950
-0.955184 -0.932575 -0.955184 -0.932575
