# Joukowski airfoil case 7
# a = 1, xi0 = -0.1, eta0 = 0.1, r = 1.10454
# x   y   x/a   y/a
-1.547535 -0.131931 -1.547535 -0.131931
-1.536227 -0.131860 -1.536227 -0.131860
-1.524797 -0.131748 -1.524797 -0.131748
-1.513245 -0.131596 -1.513245 -0.131596
-1.501571 -0.131404 -1.501571 -0.131404
-1.489775 -0.131173 -1.489775 -0.131173
-1.477859 -0.130902 -1.477859 -0.130902
-1.465822 -0.130591 -1.465822 -0.130591
-1.453666 -0.130242 -1.453666 -0.130242
-1.441390 -0.129854 -1.441390 -0.129854
-1.428995 -0.129427 -1.428995 -0.129427
-1.416482 -0.128962 -1.416482 -0.128962
-1.403851 -0.128459 -1.403851 -0.128459
-1.391103 -0.127918 -1.391103 -0.127918
-1.378239 -0.127339 -1.378239 -0.127339
-1.365258 -0.126724 -1.365258 -0.126724
-1.352162 -0.126071 -1.352162 -0.126071
-1.338951 -0.125382 -1.338951 -0.125382
-1.325625 -0.124657 -1.325625 -0.124657
-1.312186 -0.123896 -1.312186 -0.123896
-1.298634 -0.123100 -1.298634 -0.123100
-1.284969 -0.122269 -1.284969 -0.122269
-1.271193 -0.121402 -1.271193 -0.121402
-1.257306 -0.120502 -1.257306 -0.120502
-1.243308 -0.119568 -1.243308 -0.119568
-1.229200 -0.118600 -1.229200 -0.118600
-1.214984 -0.117599 -1.214984 -0.117599
-1.200660 -0.116566 -1.200660 -0.116566
-1.186227 -0.115501 -1.186227 -0.115501
-1.171689 -0.114403 -1.171689 -0.114403
-1.157044 -0.113275 -1.157044 -0.113275
-1.142294 -0.112116 -1.142294 -0.112116
-1.127439 -0.110926 -1.127439 -0.110926
-1.112481 -0.109707 -1.112481 -0.109707
-1.097420 -0.108459 -1.097420 -0.108459
-1.082257 -0.107182 -1.082257 -0.107182
-1.066993 -0.105877 -1.066993 -0.105877
-1.051629 -0.104544 -1.051629 -0.104544
-1.036166 -0.103184 -1.036166 -0.103184
-1.020603 -0.101798 -1.020603 -0.101798
-1.004944 -0.100385 -1.004944 -0.100385
-0.989187 -0.098948 -0.989187 -0.098948
-0.973335 -0.097485 -0.973335 -0.097485
-0.957388 -0.095998 -0.957388 -0.095998
-0.941348 -0.094488 -0.941348 -0.094488
-0.925214 -0.092955 -0.925214 -0.092955
-0.908989 -0.091399 -0.908989 -0.091399
-0.892673 -0.089822 -0.892673 -0.089822
-0.876267 -0.088223 -0.876267 -0.088223
-0.859772 -0.086605 -0.859772 -0.086605
-0.843190 -0.084966 -0.843190 -0.084966
-0.826521 -0.083308 -0.826521 -0.083308
-0.809766 -0.081632 -0.809766 -0.081632
-0.792927 -0.079938 -0.792927 -0.079938
-0.776005 -0.078227 -0.776005 -0.078227
-0.759001 -0.076500 -0.759001 -0.076500
-0.741916 -0.074757 -0.741916 -0.074757
-0.724750 -0.072999 -0.724750 -0.072999
-0.707507 -0.071227 -0.707507 -0.071227
-0.690185 -0.069441 -0.690185 -0.069441
-0.672788 -0.067642 -0.672788 -0.067642
-0.655316 -0.065831 -0.655316 -0.065831
-0.637770 -0.064009 -0.637770 -0.064009
-0.620151 -0.062176 -0.620151 -0.062176
-0.602462 -0.060334 -0.602462 -0.060334
-0.584702 -0.058482 -0.584702 -0.058482
-0.566874 -0.056621 -0.566874 -0.056621
-0.548979 -0.054753 -0.548979 -0.054753
-0.531019 -0.052878 -0.531019 -0.052878
-0.512993 -0.050997 -0.512993 -0.050997
-0.494905 -0.049111 -0.494905 -0.049111
