# type = 2
# x0 = 0.1, y0 = 0, z0 = 0
# projection: horizontal = z, vertical = x
# z   x
2.183224 1.679586
2.179570 1.680363
2.175907 1.681140
2.172237 1.681914
2.168559 1.682688
2.164873 1.683459
2.161180 1.684230
2.157479 1.684998
2.153770 1.685765
2.150054 1.686531
2.146330 1.687295
2.142598 1.688057
2.138859 1.688818
2.135112 1.689578
2.131357 1.690335
2.127595 1.691092
2.123826 1.691846
2.120049 1.692600
2.116265 1.693351
2.112473 1.694101
2.108674 1.694850
2.104867 1.695597
2.101053 1.696342
2.097232 1.697086
2.093403 1.697828
2.089567 1.698569
2.085724 1.699308
2.081873 1.700046
2.078015 1.700782
2.074150 1.701516
2.070278 1.702249
2.066399 1.702980
2.062512 1.703710
2.058618 1.704438
2.054718 1.705165
2.050810 1.705889
2.046895 1.706613
2.042973 1.707335
2.039044 1.708055
2.035108 1.708774
2.031165 1.709491
2.027215 1.710206
2.023258 1.710920
2.019294 1.711632
2.015323 1.712343
2.011346 1.713052
2.007361 1.713760
2.003370 1.714466
1.999372 1.715170
1.995367 1.715873
1.991355 1.716574
1.987337 1.717273
1.983312 1.717971
1.979280 1.718668
1.975241 1.719362
1.971196 1.720055
1.967145 1.720747
1.963086 1.721437
1.959021 1.722125
1.954950 1.722812
1.950872 1.723497
1.946787 1.724180
1.942696 1.724862
1.938599 1.725543
1.934495 1.726221
1.930384 1.726898
1.926268 1.727573
1.922144 1.728247
1.918015 1.728919
1.913879 1.729590
1.909737 1.730259
1.905588 1.730926
1.901434 1.731592
1.897273 1.732256
1.893106 1.732918
1.888932 1.733579
1.884753 1.734238
1.880567 1.734895
1.876375 1.735551
1.872177 1.736205
1.867973 1.736858
1.863763 1.737509
1.859547 1.738158
1.855325 1.738806
1.851097 1.739451
1.846863 1.740096
1.842622 1.740738
1.838376 1.741380
1.834125 1.742019
1.829867 1.742657
1.825603 1.743293
1.821334 1.743927
1.817058 1.744560
1.812777 1.745191
1.808491 1.745820
1.804198 1.746448
1.799900 1.747074
1.795596 1.747699
1.791286 1.748322
1.786971 1.748943
1.782650 1.749562
1.778324 1.750180
1.773991 1.750796
1.769654 1.751411
1.765311 1.752023
1.760962 1.752634
1.756608 1.753244
1.752248 1.753852
1.747883 1.754458
1.743513 1.755062
1.739137 1.755665
1.734756 1.756266
1.730369 1.756865
1.725977 1.757463
1.721580 1.758059
1.717178 1.758653
1.712770 1.759246
1.708357 1.759837
1.703939 1.760426
1.699515 1.761014
1.695087 1.761599
1.690653 1.762184
1.686215 1.762766
1.681771 1.763347
1.677322 1.763926
1.672868 1.764503
1.668409 1.765079
1.663945 1.765653
1.659476 1.766225
1.655002 1.766796
1.650524 1.767365
1.646040 1.767932
1.641551 1.768497
1.637058 1.769061
1.632560 1.769623
1.628057 1.770183
1.623549 1.770742
1.619037 1.771299
1.614519 1.771854
1.609997 1.772408
1.605471 1.772959
1.600939 1.773509
1.596404 1.774058
1.591863 1.774604
1.587318 1.775149
1.582768 1.775692
1.578214 1.776234
1.573655 1.776774
1.569092 1.777311
1.564524 1.777848
1.559952 1.778382
1.555376 1.778915
1.550795 1.779446
1.546209 1.779975
1.541620 1.780503
1.537026 1.781029
1.532427 1.781553
1.527825 1.782075
1.523218 1.782596
1.518607 1.783115
1.513992 1.783632
1.509372 1.784147
1.504749 1.784661
1.500121 1.785173
1.495489 1.785683
1.490853 1.786192
1.486213 1.786698
1.481569 1.787203
1.476921 1.787706
1.472269 1.788208
1.467613 1.788708
1.462953 1.789206
1.458290 1.789702
1.453622 1.790196
1.448950 1.790689
1.444275 1.791180
1.439596 1.791669
1.434913 1.792156
1.430226 1.792642
1.425536 1.793126
1.420841 1.793608
1.416144 1.794088
1.411442 1.794567
1.406737 1.795044
1.402028 1.795519
1.397316 1.795992
1.392600 1.796463
1.387880 1.796933
1.383157 1.797401
1.378430 1.797867
1.373700 1.798332
1.368967 1.798794
1.364230 1.799255
1.359490 1.799714
1.354746 1.800171
1.349999 1.800627
1.345249 1.801081
1.340495 1.801533
1.335738 1.801983
1.330978 1.802431
1.326215 1.802878
1.321448 1.803323
1.316678 1.803766
1.311906 1.804207
1.307129 1.804646
1.302350 1.805084
1.297568 1.805520
1.292783 1.805954
1.287995 1.806386
1.283203 1.806817
1.278409 1.807245
1.273612 1.807672
1.268812 1.808097
1.264009 1.808521
1.259203 1.808942
1.254394 1.809362
1.249582 1.809780
1.244768 1.810196
1.239951 1.810610
1.235131 1.811023
1.230308 1.811433
1.225483 1.811842
1.220654 1.812249
1.215824 1.812655
1.210990 1.813058
1.206154 1.813460
1.201316 1.813859
1.196475 1.814258
1.191631 1.814654
1.186785 1.815048
1.181936 1.815441
1.177085 1.815832
1.172232 1.816220
1.167376 1.816608
1.162517 1.816993
1.157657 1.817376
1.152794 1.817758
1.147928 1.818138
1.143061 1.818516
1.138191 1.818892
1.133319 1.819267
1.128445 1.819639
1.123568 1.820010
1.118690 1.820379
1.113809 1.820746
1.108926 1.821111
1.104041 1.821475
1.099154 1.821836
1.094265 1.822196
1.089374 1.822554
1.084481 1.822910
1.079586 1.823265
1.074689 1.823617
1.069790 1.823968
1.064889 1.824316
1.059987 1.824663
1.055082 1.825009
1.050176 1.825352
1.045268 1.825693
1.040359 1.826033
1.035447 1.826371
1.030534 1.826707
1.025619 1.827041
1.020703 1.827373
1.015784 1.827703
1.010865 1.828032
1.005943 1.828359
1.001021 1.828683
0.996096 1.829006
0.991170 1.829328
0.986243 1.829647
0.981314 1.829964
0.976384 1.830280
0.971452 1.830594
0.966519 1.830906
0.961585 1.831216
0.956649 1.831524
0.951712 1.831831
0.946774 1.832135
0.941834 1.832438
0.936893 1.832739
0.931951 1.833038
0.927008 1.833335
0.922064 1.833630
0.917118 1.833923
0.912172 1.834215
0.907224 1.834505
0.902275 1.834793
0.897326 1.835079
0.892375 1.835363
0.887423 1.835645
0.882471 1.835925
0.877517 1.836204
0.872563 1.836481
0.867607 1.836755
0.862651 1.837028
0.857694 1.837299
0.852736 1.837569
0.847778 1.837836
0.842819 1.838101
0.837859 1.838365
0.832898 1.838627
0.827936 1.838887
0.822974 1.839145
0.818012 1.839401
0.813048 1.839655
0.808085 1.839908
0.803120 1.840158
0.798155 1.840407
0.793190 1.840654
0.788224 1.840899
0.783258 1.841142
0.778291 1.841383
0.773324 1.841622
0.768356 1.841860
0.763389 1.842095
0.758421 1.842329
0.753452 1.842561
0.748483 1.842791
0.743514 1.843019
0.738545 1.843245
0.733576 1.843469
0.728606 1.843692
0.723637 1.843912
0.718667 1.844131
0.713697 1.844348
0.708727 1.844563
