# t  theta1(rad)  omega1(rad/s)  theta2(rad)  omega2(rad/s)  theta3(rad)  omega3(rad/s)  theta4(rad)  omega4(rad/s)  theta5(rad)  omega5(rad/s)  theta6(rad)  omega6(rad/s)
1.390000 -0.193683 1.426526 -0.573366 2.425208 -1.232430 2.263830 -1.979910 0.600038 -2.312332 -1.570563 -0.676973 -5.892105
1.400000 -0.179326 1.444717 -0.548851 2.477412 -1.209330 2.355985 -1.973459 0.690164 -2.327678 -1.498736 -0.735580 -5.828443
1.410000 -0.164793 1.461514 -0.523825 2.527542 -1.185313 2.447324 -1.966105 0.780556 -2.342311 -1.427919 -0.793528 -5.760542
1.420000 -0.150100 1.476897 -0.498308 2.575526 -1.160387 2.537758 -1.957847 0.871242 -2.356240 -1.358078 -0.850777 -5.688678
1.430000 -0.135260 1.490848 -0.472322 2.621290 -1.134561 2.627200 -1.948679 0.962251 -2.369475 -1.289179 -0.907289 -5.613135
1.440000 -0.120288 1.503349 -0.445889 2.664765 -1.107847 2.715551 -1.938600 1.053608 -2.382026 -1.221186 -0.963029 -5.534201
1.450000 -0.105198 1.514387 -0.419034 2.705881 -1.080254 2.802713 -1.927606 1.145337 -2.393902 -1.154061 -1.017963 -5.452167
1.460000 -0.090005 1.523947 -0.391780 2.744573 -1.051797 2.888579 -1.915692 1.237457 -2.405110 -1.087767 -1.072063 -5.367324
1.470000 -0.074724 1.532018 -0.364151 2.780776 -1.022487 2.973039 -1.902856 1.329988 -2.415660 -1.022263 -1.125301 -5.279963
1.480000 -0.059370 1.538591 -0.336173 2.814431 -0.992341 3.055978 -1.889091 1.422944 -2.425558 -0.957509 -1.177654 -5.190369
1.490000 -0.043957 1.543657 -0.307871 2.845479 -0.961373 3.137279 -1.874395 1.516336 -2.434812 -0.893464 -1.229102 -5.098824
1.500000 -0.028502 1.547211 -0.279272 2.873868 -0.929601 3.216817 -1.858763 1.610173 -2.443430 -0.830085 -1.279625 -5.005602
1.510000 -0.013018 1.549247 -0.250403 2.899547 -0.897043 3.294467 -1.842190 1.704458 -2.451416 -0.767330 -1.329209 -4.910969
1.520000 0.002478 1.549764 -0.221290 2.922471 -0.863719 3.370101 -1.824672 1.799191 -2.458778 -0.705155 -1.377841 -4.815183
1.530000 0.017972 1.548761 -0.191963 2.942598 -0.829648 3.443587 -1.806205 1.894366 -2.465521 -0.643517 -1.425510 -4.718491
1.540000 0.033448 1.546239 -0.162448 2.959892 -0.794854 3.514792 -1.786784 1.989975 -2.471650 -0.582372 -1.472208 -4.621127
1.550000 0.048892 1.542201 -0.132774 2.974320 -0.759360 3.583582 -1.766404 2.086002 -2.477170 -0.521674 -1.517931 -4.523316
1.560000 0.064287 1.536652 -0.102971 2.985857 -0.723191 3.649822 -1.745062 2.182426 -2.482085 -0.461379 -1.562674 -4.425270
1.570000 0.079620 1.529599 -0.073067 2.994481 -0.686373 3.713379 -1.722754 2.279220 -2.486399 -0.401441 -1.606436 -4.327187
1.580000 0.094874 1.521051 -0.043091 3.000176 -0.648933 3.774117 -1.699477 2.376353 -2.490115 -0.341816 -1.649218 -4.229254
1.590000 0.110036 1.511017 -0.013073 3.002931 -0.610900 3.831906 -1.675226 2.473784 -2.493236 -0.282458 -1.691022 -4.131646
1.600000 0.125090 1.499509 0.016958 3.002740 -0.572305 3.886616 -1.650000 2.571467 -2.495765 -0.223320 -1.731853 -4.034522
1.610000 0.140021 1.486543 0.046972 2.999605 -0.533179 3.938121 -1.623796 2.669350 -2.497703 -0.164358 -1.771715 -3.938032
1.620000 0.154816 1.472132 0.076940 2.993530 -0.493554 3.986299 -1.596613 2.767370 -2.499052 -0.105524 -1.810616 -3.842312
1.630000 0.169459 1.456295 0.106833 2.984529 -0.453464 4.031034 -1.568449 2.865460 -2.499814 -0.046773 -1.848564 -3.747487
1.640000 0.183937 1.439050 0.136621 2.972616 -0.412945 4.072215 -1.539304 2.963543 -2.499988 0.011941 -1.885569 -3.653668
1.650000 0.198235 1.420417 0.166275 2.957815 -0.372032 4.109737 -1.509178 3.061533 -2.499575 0.070664 -1.921641 -3.560959
1.660000 0.212341 1.400418 0.195768 2.940153 -0.330763 4.143505 -1.478074 3.159338 -2.498574 0.129443 -1.956792 -3.469449
1.670000 0.226239 1.379076 0.225069 2.919662 -0.289175 4.173428 -1.445992 3.256855 -2.496986 0.188324 -1.991034 -3.379220
1.680000 0.239918 1.356416 0.254151 2.896380 -0.247307 4.199428 -1.412938 3.353974 -2.494807 0.247352 -2.024381 -3.290342
1.690000 0.253363 1.332463 0.282987 2.870347 -0.205200 4.221435 -1.378915 3.450574 -2.492038 0.306574 -2.056846 -3.202878
1.700000 0.266563 1.307245 0.311549 2.841612 -0.162892 4.239388 -1.343928 3.546528 -2.488675 0.366035 -2.088444 -3.116882
1.710000 0.279504 1.280790 0.339811 2.810223 -0.120426 4.253239 -1.307987 3.641700 -2.484716 0.425782 -2.119189 -3.032397
1.720000 0.292175 1.253128 0.367745 2.776235 -0.077841 4.262948 -1.271098 3.735942 -2.480158 0.485859 -2.149097 -2.949463
1.730000 0.304563 1.224288 0.395327 2.739706 -0.035181 4.268489 -1.233271 3.829101 -2.474998 0.546313 -2.178183 -2.868110
1.740000 0.316657 1.194303 0.422531 2.700698 0.007515 4.269846 -1.194520 3.921016 -2.469231 0.607187 -2.206464 -2.788362
1.750000 0.328445 1.163204 0.449333 2.659272 0.050202 4.267015 -1.154856 4.011517 -2.462853 0.668528 -2.233956 -2.710238
1.760000 0.339917 1.131025 0.475709 2.615498 0.092841 4.260005 -1.114295 4.100428 -2.455858 0.730379 -2.260674 -2.633750
1.770000 0.351062 1.097801 0.501635 2.569442 0.135389 4.248834 -1.072853 4.187564 -2.448243 0.792785 -2.286636 -2.558906
1.780000 0.361870 1.063565 0.527090 2.521177 0.177804 4.233535 -1.030550 4.272739 -2.440001 0.855788 -2.311858 -2.485709
1.790000 0.372330 1.028353 0.552052 2.470774 0.220046 4.214149 -0.987405 4.355757 -2.431125 0.919433 -2.336356 -2.414158
1.800000 0.382434 0.992202 0.576499 2.418308 0.262073 4.190729 -0.943443 4.436421 -2.421610 0.983762 -2.360147 -2.344247
1.810000 0.392171 0.955148 0.600411 2.363852 0.303847 4.163339 -0.898686 4.514530 -2.411448 1.048816 -2.383246 -2.275969
1.820000 0.401534 0.917228 0.623769 2.307483 0.345327 4.132053 -0.853161 4.589881 -2.400631 1.114636 -2.405671 -2.209312
1.830000 0.410513 0.878479 0.646555 2.249277 0.386475 4.096954 -0.806898 4.662272 -2.389152 1.181264 -2.427438 -2.144261
1.840000 0.419101 0.838941 0.668749 2.189310 0.427254 4.058132 -0.759926 4.731499 -2.377003 1.248737 -2.448562 -2.080799
1.850000 0.427289 0.798651 0.690335 2.127658 0.467626 4.015688 -0.712279 4.797361 -2.364174 1.317094 -2.469059 -2.018908
