# type = 1
# x0 = 0.1, y0 = 0, z0 = 0
# projection: horizontal = z, vertical = x
# z   x
2.146587 1.686327
2.142998 1.687017
2.139403 1.687705
2.135801 1.688391
2.132192 1.689077
2.128577 1.689760
2.124955 1.690442
2.121327 1.691123
2.117692 1.691801
2.114051 1.692479
2.110403 1.693154
2.106749 1.693829
2.103089 1.694501
2.099422 1.695172
2.095749 1.695842
2.092069 1.696510
2.088383 1.697176
2.084691 1.697841
2.080993 1.698504
2.077288 1.699165
2.073578 1.699825
2.069861 1.700484
2.066137 1.701141
2.062408 1.701796
2.058673 1.702450
2.054931 1.703102
2.051183 1.703752
2.047430 1.704401
2.043670 1.705049
2.039904 1.705694
2.036132 1.706338
2.032354 1.706981
2.028571 1.707622
2.024781 1.708261
2.020985 1.708899
2.017184 1.709535
2.013376 1.710170
2.009563 1.710803
2.005744 1.711434
2.001919 1.712064
1.998088 1.712692
1.994252 1.713319
1.990410 1.713944
1.986562 1.714568
1.982708 1.715189
1.978849 1.715810
1.974984 1.716428
1.971113 1.717045
1.967237 1.717661
1.963355 1.718274
1.959468 1.718887
1.955575 1.719497
1.951677 1.720106
1.947773 1.720713
1.943863 1.721319
1.939948 1.721923
1.936028 1.722526
1.932102 1.723127
1.928171 1.723726
1.924235 1.724324
1.920293 1.724920
1.916346 1.725514
1.912393 1.726107
1.908435 1.726698
1.904472 1.727288
1.900504 1.727875
1.896531 1.728462
1.892552 1.729046
1.888568 1.729629
1.884579 1.730211
1.880585 1.730791
1.876586 1.731369
1.872581 1.731945
1.868572 1.732520
1.864558 1.733093
1.860538 1.733665
1.856514 1.734235
1.852484 1.734803
1.848450 1.735370
1.844411 1.735935
1.840367 1.736499
1.836318 1.737060
1.832264 1.737620
1.828205 1.738179
1.824141 1.738736
1.820073 1.739291
1.816000 1.739845
1.811922 1.740397
1.807839 1.740947
1.803752 1.741495
1.799660 1.742042
1.795563 1.742588
1.791462 1.743131
1.787356 1.743673
1.783246 1.744214
1.779130 1.744753
1.775011 1.745290
1.770887 1.745825
1.766758 1.746359
1.762625 1.746891
1.758487 1.747421
1.754345 1.747950
1.750199 1.748477
1.746048 1.749003
1.741893 1.749527
1.737734 1.750049
1.733570 1.750569
1.729402 1.751088
1.725229 1.751605
1.721053 1.752121
1.716872 1.752634
1.712687 1.753146
1.708497 1.753657
1.704304 1.754166
1.700106 1.754673
1.695905 1.755178
1.691699 1.755682
1.687489 1.756184
1.683275 1.756685
1.679057 1.757183
1.674835 1.757681
1.670609 1.758176
1.666380 1.758670
1.662146 1.759162
1.657908 1.759652
1.653667 1.760141
1.649421 1.760628
1.645172 1.761113
1.640919 1.761597
1.636662 1.762079
1.632401 1.762559
1.628137 1.763038
1.623869 1.763514
1.619597 1.763990
1.615321 1.764463
1.611042 1.764935
1.606759 1.765405
1.602473 1.765874
1.598183 1.766340
1.593889 1.766805
1.589592 1.767269
1.585291 1.767730
1.580987 1.768190
1.576680 1.768649
1.572369 1.769105
1.568054 1.769560
1.563736 1.770013
1.559415 1.770465
1.555090 1.770915
1.550762 1.771363
1.546431 1.771809
1.542096 1.772254
1.537759 1.772697
1.533418 1.773138
1.529073 1.773578
1.524726 1.774016
1.520375 1.774452
1.516021 1.774886
1.511664 1.775319
1.507304 1.775750
1.502941 1.776179
1.498575 1.776607
1.494206 1.777033
1.489833 1.777457
1.485458 1.777880
1.481080 1.778300
1.476699 1.778719
1.472315 1.779137
1.467928 1.779552
1.463538 1.779966
1.459145 1.780379
1.454750 1.780789
1.450352 1.781198
1.445951 1.781605
1.441547 1.782010
1.437140 1.782414
1.432731 1.782816
1.428319 1.783216
1.423904 1.783614
1.419487 1.784011
1.415067 1.784406
1.410645 1.784799
1.406220 1.785191
1.401792 1.785581
1.397362 1.785969
1.392929 1.786355
1.388494 1.786740
1.384057 1.787123
1.379617 1.787504
1.375174 1.787884
1.370730 1.788261
1.366283 1.788637
1.361833 1.789012
1.357381 1.789384
1.352927 1.789755
1.348471 1.790124
1.344012 1.790491
1.339552 1.790857
1.335089 1.791221
1.330623 1.791583
1.326156 1.791943
1.321687 1.792302
1.317215 1.792659
1.312742 1.793014
1.308266 1.793368
1.303788 1.793719
1.299309 1.794069
1.294827 1.794418
1.290343 1.794764
1.285858 1.795109
1.281370 1.795452
1.276881 1.795793
1.272390 1.796133
1.267896 1.796470
1.263402 1.796806
1.258905 1.797141
1.254406 1.797473
1.249906 1.797804
1.245404 1.798133
1.240900 1.798460
1.236395 1.798786
1.231888 1.799110
1.227379 1.799432
1.222869 1.799752
1.218357 1.800071
1.213844 1.800387
1.209329 1.800703
1.204813 1.801016
1.200295 1.801327
1.195775 1.801637
1.191254 1.801945
1.186732 1.802252
1.182208 1.802556
1.177683 1.802859
1.173157 1.803160
1.168629 1.803459
1.164100 1.803757
1.159570 1.804053
1.155038 1.804347
1.150506 1.804639
1.145972 1.804929
1.141436 1.805218
1.136900 1.805505
1.132362 1.805790
1.127824 1.806074
1.123284 1.806356
1.118743 1.806636
1.114202 1.806914
1.109659 1.807190
1.105115 1.807465
1.100570 1.807738
1.096024 1.808009
1.091478 1.808278
1.086930 1.808546
1.082381 1.808812
1.077832 1.809076
1.073282 1.809338
1.068731 1.809599
1.064179 1.809858
1.059627 1.810115
1.055073 1.810370
1.050519 1.810624
1.045965 1.810875
1.041409 1.811125
1.036853 1.811374
1.032297 1.811620
1.027740 1.811865
1.023182 1.812108
1.018623 1.812349
1.014065 1.812588
1.009505 1.812826
1.004945 1.813062
1.000385 1.813296
0.995824 1.813528
0.991263 1.813759
0.986702 1.813988
0.982140 1.814215
0.977577 1.814440
0.973015 1.814663
0.968452 1.814885
0.963889 1.815105
0.959326 1.815323
0.954762 1.815540
0.950198 1.815754
0.945634 1.815967
0.941070 1.816178
0.936506 1.816387
0.931942 1.816595
0.927377 1.816801
0.922813 1.817005
0.918248 1.817207
0.913684 1.817407
0.909119 1.817606
0.904555 1.817803
0.899990 1.817998
0.895426 1.818192
0.890862 1.818383
0.886297 1.818573
0.881733 1.818761
0.877170 1.818947
0.872606 1.819132
0.868043 1.819315
0.863480 1.819495
0.858917 1.819675
0.854354 1.819852
0.849792 1.820028
0.845230 1.820202
0.840669 1.820374
0.836108 1.820544
0.831547 1.820712
0.826987 1.820879
0.822427 1.821044
0.817867 1.821207
0.813309 1.821369
0.808750 1.821528
0.804192 1.821686
0.799635 1.821842
0.795079 1.821997
0.790523 1.822149
0.785967 1.822300
0.781413 1.822449
0.776859 1.822596
0.772305 1.822742
0.767753 1.822885
0.763201 1.823027
0.758650 1.823167
0.754100 1.823306
0.749551 1.823442
0.745002 1.823577
0.740455 1.823710
0.735908 1.823841
0.731362 1.823971
0.726817 1.824099
0.722273 1.824225
0.717731 1.824349
0.713189 1.824471
0.708648 1.824592
0.704108 1.824710
0.699570 1.824828
0.695032 1.824943
0.690496 1.825056
0.685960 1.825168
0.681426 1.825278
0.676893 1.825386
0.672362 1.825493
0.667831 1.825597
0.663302 1.825700
0.658774 1.825801
0.654248 1.825900
0.649723 1.825998
0.645199 1.826094
0.640676 1.826188
0.636155 1.826280
0.631636 1.826370
0.627118 1.826459
0.622601 1.826546
0.618086 1.826631
0.613572 1.826714
0.609060 1.826796
0.604550 1.826876
0.600041 1.826954
0.595534 1.827030
0.591028 1.827104
0.586524 1.827177
0.582022 1.827248
