# circle in zeta-plane case 4
# xi0 = -0.1, eta0 = 0, r = 1.1
# xi   eta   xi/a   eta/a
-1.196609 -0.086305 -1.196609 -0.086305
-1.195814 -0.095871 -1.195814 -0.095871
-1.194936 -0.105430 -1.194936 -0.105430
-1.193974 -0.114981 -1.193974 -0.114981
-1.192929 -0.124524 -1.192929 -0.124524
-1.191801 -0.134056 -1.191801 -0.134056
-1.190589 -0.143579 -1.190589 -0.143579
-1.189295 -0.153090 -1.189295 -0.153090
-1.187917 -0.162590 -1.187917 -0.162590
-1.186457 -0.172078 -1.186457 -0.172078
-1.184914 -0.181552 -1.184914 -0.181552
-1.183289 -0.191013 -1.183289 -0.191013
-1.181580 -0.200459 -1.181580 -0.200459
-1.179790 -0.209890 -1.179790 -0.209890
-1.177917 -0.219305 -1.177917 -0.219305
-1.175962 -0.228703 -1.175962 -0.228703
-1.173926 -0.238084 -1.173926 -0.238084
-1.171807 -0.247446 -1.171807 -0.247446
-1.169607 -0.256790 -1.169607 -0.256790
-1.167325 -0.266114 -1.167325 -0.266114
-1.164962 -0.275418 -1.164962 -0.275418
-1.162518 -0.284701 -1.162518 -0.284701
-1.159993 -0.293962 -1.159993 -0.293962
-1.157388 -0.303201 -1.157388 -0.303201
-1.154702 -0.312417 -1.154702 -0.312417
-1.151935 -0.321609 -1.151935 -0.321609
-1.149089 -0.330776 -1.149089 -0.330776
-1.146162 -0.339919 -1.146162 -0.339919
-1.143156 -0.349035 -1.143156 -0.349035
-1.140070 -0.358125 -1.140070 -0.358125
-1.136906 -0.367188 -1.136906 -0.367188
-1.133662 -0.376222 -1.133662 -0.376222
-1.130339 -0.385228 -1.130339 -0.385228
-1.126938 -0.394205 -1.126938 -0.394205
-1.123459 -0.403151 -1.123459 -0.403151
-1.119902 -0.412067 -1.119902 -0.412067
-1.116267 -0.420952 -1.116267 -0.420952
-1.112555 -0.429804 -1.112555 -0.429804
-1.108766 -0.438624 -1.108766 -0.438624
-1.104900 -0.447410 -1.104900 -0.447410
-1.100957 -0.456163 -1.100957 -0.456163
-1.096939 -0.464880 -1.096939 -0.464880
-1.092844 -0.473562 -1.092844 -0.473562
-1.088673 -0.482208 -1.088673 -0.482208
-1.084428 -0.490818 -1.084428 -0.490818
-1.080107 -0.499390 -1.080107 -0.499390
-1.075712 -0.507923 -1.075712 -0.507923
-1.071242 -0.516419 -1.071242 -0.516419
-1.066699 -0.524875 -1.066699 -0.524875
-1.062082 -0.533291 -1.062082 -0.533291
-1.057391 -0.541666 -1.057391 -0.541666
-1.052628 -0.550000 -1.052628 -0.550000
-1.047792 -0.558292 -1.047792 -0.558292
-1.042884 -0.566542 -1.042884 -0.566542
-1.037904 -0.574748 -1.037904 -0.574748
-1.032853 -0.582911 -1.032853 -0.582911
-1.027731 -0.591030 -1.027731 -0.591030
-1.022538 -0.599103 -1.022538 -0.599103
-1.017274 -0.607131 -1.017274 -0.607131
-1.011941 -0.615112 -1.011941 -0.615112
-1.006539 -0.623047 -1.006539 -0.623047
-1.001067 -0.630934 -1.001067 -0.630934
-0.995527 -0.638773 -0.995527 -0.638773
-0.989919 -0.646564 -0.989919 -0.646564
-0.984243 -0.654305 -0.984243 -0.654305
