# circle in zeta-plane case 9
# xi0 = -0.1, eta0 = 0.3, r = 1.14018
# xi   eta   xi/a   eta/a
-1.234926 0.190719 -1.234926 0.190719
-1.233929 0.180819 -1.233929 0.180819
-1.232846 0.170928 -1.232846 0.170928
-1.231677 0.161048 -1.231677 0.161048
-1.230421 0.151177 -1.230421 0.151177
-1.229079 0.141318 -1.229079 0.141318
-1.227652 0.131471 -1.227652 0.131471
-1.226138 0.121637 -1.226138 0.121637
-1.224539 0.111817 -1.224539 0.111817
-1.222854 0.102011 -1.222854 0.102011
-1.221083 0.092220 -1.221083 0.092220
-1.219227 0.082444 -1.219227 0.082444
-1.217286 0.072686 -1.217286 0.072686
-1.215260 0.062944 -1.215260 0.062944
-1.213149 0.053221 -1.213149 0.053221
-1.210953 0.043516 -1.210953 0.043516
-1.208672 0.033831 -1.208672 0.033831
-1.206307 0.024167 -1.206307 0.024167
-1.203858 0.014523 -1.203858 0.014523
-1.201325 0.004901 -1.201325 0.004901
-1.198708 -0.004699 -1.198708 -0.004699
-1.196007 -0.014275 -1.196007 -0.014275
-1.193223 -0.023827 -1.193223 -0.023827
-1.190355 -0.033355 -1.190355 -0.033355
-1.187405 -0.042857 -1.187405 -0.042857
-1.184371 -0.052334 -1.184371 -0.052334
-1.181255 -0.061783 -1.181255 -0.061783
-1.178057 -0.071205 -1.178057 -0.071205
-1.174777 -0.080598 -1.174777 -0.080598
-1.171414 -0.089963 -1.171414 -0.089963
-1.167971 -0.099298 -1.167971 -0.099298
-1.164445 -0.108602 -1.164445 -0.108602
-1.160839 -0.117876 -1.160839 -0.117876
-1.157152 -0.127117 -1.157152 -0.127117
-1.153385 -0.136326 -1.153385 -0.136326
-1.149537 -0.145502 -1.149537 -0.145502
-1.145609 -0.154644 -1.145609 -0.154644
-1.141602 -0.163751 -1.141602 -0.163751
-1.137515 -0.172823 -1.137515 -0.172823
-1.133350 -0.181859 -1.133350 -0.181859
-1.129106 -0.190858 -1.129106 -0.190858
-1.124783 -0.199820 -1.124783 -0.199820
-1.120382 -0.208744 -1.120382 -0.208744
-1.115904 -0.217629 -1.115904 -0.217629
-1.111348 -0.226474 -1.111348 -0.226474
-1.106715 -0.235280 -1.106715 -0.235280
-1.102006 -0.244045 -1.102006 -0.244045
-1.097220 -0.252768 -1.097220 -0.252768
-1.092358 -0.261449 -1.092358 -0.261449
-1.087421 -0.270088 -1.087421 -0.270088
-1.082408 -0.278683 -1.082408 -0.278683
-1.077321 -0.287234 -1.077321 -0.287234
-1.072159 -0.295740 -1.072159 -0.295740
-1.066924 -0.304201 -1.066924 -0.304201
-1.061614 -0.312616 -1.061614 -0.312616
-1.056232 -0.320984 -1.056232 -0.320984
-1.050776 -0.329305 -1.050776 -0.329305
-1.045248 -0.337578 -1.045248 -0.337578
-1.039648 -0.345802 -1.039648 -0.345802
-1.033977 -0.353978 -1.033977 -0.353978
-1.028235 -0.362103 -1.028235 -0.362103
-1.022421 -0.370178 -1.022421 -0.370178
-1.016538 -0.378202 -1.016538 -0.378202
-1.010585 -0.386175 -1.010585 -0.386175
-1.004562 -0.394095 -1.004562 -0.394095
-0.998470 -0.401962 -0.998470 -0.401962
-0.992311 -0.409776 -0.992311 -0.409776
-0.986083 -0.417536 -0.986083 -0.417536
-0.979787 -0.425241 -0.979787 -0.425241
-0.973425 -0.432891 -0.973425 -0.432891
-0.966996 -0.440485 -0.966996 -0.440485
-0.960501 -0.448022 -0.960501 -0.448022
-0.953941 -0.455503 -0.953941 -0.455503
-0.947315 -0.462926 -0.947315 -0.462926
